date,price,score_set,final_equal,final_equal_call,final_horizon,final_horizon_call,master_1mo,master_3mo,master_6mo,master_1yr,master_3yr
2026-07-10,63898.84,2026-07-10_draft,0.66,Mild Bull,1.13,Mild Bull,-0.97,-0.7,0.16,2.12,2.67
2026-07-11,64127.77,2026-07-11_draft,1.06,Mild Bull,1.53,Bull,-0.64,-0.26,0.66,2.34,3.19
2026-07-12,63796.08,2026-07-12_draft,1.05,Mild Bull,1.52,Bull,-0.64,-0.26,0.64,2.34,3.19
2026-07-13,62422.7,2026-07-13_draft,0.96,Mild Bull,1.45,Mild Bull,-0.84,-0.39,0.55,2.29,3.19
2026-07-17,63333.79,2026-07-17_draft,0.92,Mild Bull,1.42,Mild Bull,-0.88,-0.46,0.48,2.28,3.19
2026-07-18,63992.32,2026-07-18_draft,0.75,Mild Bull,1.28,Mild Bull,-1.12,-0.8,0.37,2.18,3.14
2026-07-24,65007.7,2026-07-24_draft,0.76,Mild Bull,1.26,Mild Bull,-1.02,-0.73,0.32,2.12,3.11
2026-07-25,64008.56,2026-07-25_draft,0.65,Mild Bull,1.19,Mild Bull,-1.29,-0.92,0.24,2.12,3.11
2026-07-30,64706.5,2026-07-30_draft,0.5,Mild Bull,1.08,Mild Bull,-1.62,-1.16,0.14,2.05,3.11
2026-07-31,63579.68,2026-07-31_draft,0.47,Neutral,1.06,Mild Bull,-1.73,-1.18,0.12,2.05,3.11
2026-08-01,63023.14,2026-08-01_draft,0.48,Neutral,1.07,Mild Bull,-1.67,-1.2,0.1,2.05,3.12
2026-08-02,63019.1,2026-08-02_draft,0.46,Neutral,1.05,Mild Bull,-1.75,-1.24,0.1,2.05,3.12
2026-08-03,62462.19,2026-08-03_draft,0.45,Neutral,1.05,Mild Bull,-1.75,-1.27,0.1,2.05,3.12
2026-08-04,63818.19,2026-08-04_draft,0.5,Neutral,1.08,Mild Bull,-1.67,-1.16,0.15,2.07,3.11
2026-08-05,64661.55,2026-08-05_draft,0.54,Mild Bull,1.11,Mild Bull,-1.59,-1.1,0.17,2.09,3.11
2026-08-06,64507.23,2026-08-06_draft,0.58,Mild Bull,1.14,Mild Bull,-1.49,-1.0,0.19,2.09,3.11
2026-08-07,65000.0,2026-08-07_draft,0.54,Mild Bull,1.12,Mild Bull,-1.63,-1.08,0.21,2.09,3.11
2026-08-08,65006.64,2026-08-08_draft,0.61,Mild Bull,1.18,Mild Bull,-1.54,-0.9,0.29,2.11,3.11
2026-08-09,65183.0,2026-08-09_draft,0.62,Mild Bull,1.18,Mild Bull,-1.54,-0.88,0.29,2.11,3.11
2026-08-10,65061.97,2026-08-10_draft,0.62,Mild Bull,1.18,Mild Bull,-1.52,-0.88,0.29,2.11,3.11
2026-08-11,64355.0,2026-08-11_draft,0.62,Mild Bull,1.18,Mild Bull,-1.52,-0.9,0.29,2.11,3.11
2026-08-12,64211.1,2026-08-12_draft,0.61,Mild Bull,1.18,Mild Bull,-1.54,-0.9,0.29,2.11,3.11
2026-08-13,63786.51,2026-08-13_draft,0.68,Mild Bull,1.22,Mild Bull,-1.37,-0.82,0.31,2.14,3.12
2026-08-14,62802.46,2026-08-14_draft,0.67,Mild Bull,1.22,Mild Bull,-1.39,-0.82,0.31,2.14,3.12
2026-08-16,62937.03,2026-08-16_draft,0.67,Mild Bull,1.22,Mild Bull,-1.41,-0.82,0.31,2.14,3.12
2026-08-20,71882.92,2026-08-20_draft,0.68,Mild Bull,1.22,Mild Bull,-1.4,-0.74,0.37,2.07,3.09
2026-08-22,77266.84,2026-08-22_draft2,0.7,Mild Bull,1.22,Mild Bull,-1.34,-0.72,0.4,2.06,3.07
2026-08-23,77222.71,2026-08-22_draft2,0.7,Mild Bull,1.23,Mild Bull,-1.34,-0.72,0.42,2.06,3.07
2026-08-29,77666.16,2026-08-29_draft,0.64,Mild Bull,1.18,Mild Bull,-1.41,-0.88,0.36,2.05,3.05
2026-08-31,78447.16,2026-08-31_draft,0.58,Mild Bull,1.13,Mild Bull,-1.5,-0.98,0.32,2.01,3.03
2026-09-01,78038.78,2026-09-01_draft,0.56,Mild Bull,1.11,Mild Bull,-1.47,-1.03,0.28,1.99,3.03
2026-09-02,76581.44,2026-09-02_draft,0.48,Neutral,1.04,Mild Bull,-1.59,-1.13,0.17,1.92,3.02
