date,open,high,low,close,volume_btc,sma20,sma50,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_pctb,bb_width,obv
2010-07-31,0.08584,0.08584,0.050541,0.067546,0.0,,,,0.067546,0.067546,,0.0,0.0,0.0,,,,,,0.0
2010-08-31,0.0611,0.0704,0.057016,0.06,0.0,,,,0.066385,0.066987,0.0,-0.000602,-0.00012,-0.000482,,,,,,0.0
2010-09-30,0.062025,0.063621,0.060001,0.0619,0.0,,,,0.065695,0.06661,1.900088,-0.000915,-0.000279,-0.000636,,,,,,0.0
2010-10-31,0.061973,0.197611,0.061065,0.1925,0.0,,,,0.085203,0.075935,59.235888,0.009268,0.00163,0.007638,,,,,,0.0
2010-11-30,0.194525,0.400982,0.1931,0.2082,0.0,,,,0.104126,0.085733,62.10336,0.018393,0.004983,0.013411,,,,,,0.0
2010-12-31,0.2275,0.3,0.199992,0.3,0.0,,,,0.13426,0.101604,73.736584,0.032656,0.010517,0.022139,,,,,,0.0
2011-01-31,0.3,0.525137,0.295,0.525137,0.0,,,,0.194395,0.132977,85.495851,0.061418,0.020698,0.040721,,,,,,0.0
2011-02-28,0.70751,1.078703,0.693898,0.860221,0.0,,,,0.29683,0.186847,91.555884,0.109983,0.038555,0.071428,,,,,,0.0
2011-03-31,0.921097,0.9399,0.7415,0.78461,0.0,,,,0.371873,0.231126,83.116946,0.140747,0.058993,0.081754,,,,,,0.0
2011-04-30,0.77411,3.5,0.68,3.5,0.0,,,,0.853123,0.473265,96.301461,0.379859,0.123166,0.256692,,,,,,0.0
2011-05-31,3.094228,8.782155,3.094228,8.721576,0.0,,,,2.063655,1.084251,98.586841,0.979404,0.294414,0.68499,,,,,,0.0
2011-06-30,9.623777,29.029921,9.623777,16.185263,0.0,,,,4.23621,2.202844,99.275743,2.033366,0.642204,1.391161,,,,,,0.0
2011-07-31,15.420357,15.457551,12.964818,13.372906,0.0,,,,5.641855,3.030256,82.88042,2.611599,1.036083,1.575516,,,,,,0.0
2011-08-31,13.019114,13.019114,6.96417,8.0,7.072581,,,,6.004647,3.398385,61.861123,2.606262,1.350119,1.256143,,,,,,-7.072581
2011-09-30,8.0,8.89,4.8,4.82,1123.111541,,,,5.822393,3.50369,53.252925,2.318703,1.543836,0.774868,,,,,,-1130.184122
2011-10-31,4.82,6.25,2.22,3.3,2084.97363,,,,5.434333,3.488602,49.693383,1.945731,1.624215,0.321516,,,,,,-3215.157752
2011-11-30,3.32,15.0,2.25,3.19,2315.574391,,,,5.089051,3.466483,49.435854,1.622568,1.623885,-0.001318,,,,,,-5530.732143
2011-12-31,3.46,4.75,2.82,4.58,2544.423685,,,,5.010735,3.548966,52.766904,1.461769,1.591462,-0.129693,,,,,,-2986.308458
2012-01-31,4.58,7.38,3.8,5.3,2019.920436,,,,5.055238,3.678672,54.441129,1.376565,1.548483,-0.171917,,,,,,-966.388022
2012-02-29,5.53,6.5,4.14,4.99,4797.173841,3.950993,,,5.045201,3.775808,53.560833,1.269393,1.492665,-0.223271,3.950993,12.906272,-5.004286,0.558011,4.533179,-5763.561863
2012-03-31,4.99,5.44,4.54,4.9,9012.290258,4.192616,,,5.022862,3.859081,53.291416,1.163781,1.426888,-0.263107,4.192616,12.974835,-4.589604,0.540274,4.189375,-14775.852121
2012-04-30,4.89,5.43,4.69,5.0,16479.774037,4.439616,,,5.019345,3.943594,53.57087,1.075752,1.356661,-0.280909,4.439616,13.018544,-4.139313,0.532661,3.864717,1703.921916
2012-05-31,4.94,5.17,4.86,5.17,18860.173151,4.695021,,,5.042523,4.034439,54.073914,1.008084,1.286946,-0.278861,4.695021,13.038336,-3.648294,0.528465,3.554112,20564.095067
2012-06-30,5.17,6.69,5.14,6.61,63386.900229,5.015896,,,5.283673,4.225221,58.204773,1.058452,1.241247,-0.182795,5.015896,13.132419,-3.100628,0.598201,3.236321,83950.995296
2012-07-31,6.6,9.28,6.36,9.28,50704.100829,5.469486,,,5.898493,4.599649,64.568406,1.298844,1.252766,0.046077,5.469486,13.473779,-2.534807,0.738029,2.926891,134655.096125
2012-08-31,9.28,16.41,7.1,10.16,83271.786629,5.962486,,,6.554109,5.011527,66.385038,1.542582,1.310729,0.231853,5.962486,13.846138,-1.921167,0.766216,2.644418,217926.882754
2012-09-30,10.2,12.66,9.49,12.22,55624.064652,6.547229,,,7.425785,5.545488,70.232608,1.880297,1.424643,0.455654,6.547229,14.465728,-1.37127,0.858197,2.418886,273550.947406
2012-10-31,12.21,12.99,9.5,11.0,83766.931406,7.054218,,,7.975664,5.949526,65.454349,2.026138,1.544942,0.481196,7.054218,14.746519,-0.638083,0.756476,2.180908,189784.015999
2012-11-30,11.0,12.74,10.25,12.43,88482.190488,7.636487,,,8.660946,6.429561,68.186491,2.231386,1.682231,0.549155,7.636487,15.101978,0.170996,0.821045,1.955216,278266.206488
2012-12-31,12.39,13.94,12.24,13.24,91543.250004,8.123487,,,9.365416,6.934038,69.650666,2.431378,1.83206,0.599318,8.123487,15.715763,0.531212,0.836955,1.869216,369809.456491
2013-01-31,13.24,21.0,12.77,20.46,124203.114581,8.710408,,,11.072275,7.935961,78.950272,3.136314,2.092911,1.043403,8.710408,18.017992,-0.597175,1.131184,2.137118,494012.571072
2013-02-28,20.3,34.42,19.5,33.53,124965.236962,9.577645,,,14.52731,9.831816,86.822203,4.695494,2.613428,2.082066,9.577645,23.565156,-4.409865,1.356205,2.920866,618977.808035
2013-03-31,33.53,97.0,33.0,96.15,177218.417693,13.7165,,,27.084647,16.225755,95.501774,10.858892,4.26252,6.596371,13.7165,54.005502,-26.572502,1.523027,5.874531,796196.225728
2013-04-30,95.5,259.34,45.0,139.88,439632.28455,20.3105,,,44.437778,25.385329,96.991844,19.052449,7.220506,11.831943,20.3105,88.326604,-47.705604,1.378979,6.69763,1235828.510278
2013-05-31,139.87,140.3,81.5,127.91,299189.382893,26.465,,,57.279658,32.979749,88.363313,24.299909,10.636387,13.663523,26.465,108.576012,-55.646012,1.117731,6.205253,936639.127385
2013-06-30,127.76,128.86,86.2,89.53,249642.463846,30.7765,,,62.241249,37.168657,67.598273,25.072593,13.523628,11.548965,30.7765,116.543496,-54.990496,0.842518,5.573538,686996.663539
2013-07-31,89.41,101.0,63.0,98.28,420190.640157,35.531,,,67.785673,41.695423,69.365758,26.09025,16.036952,10.053297,35.531,125.111679,-54.049679,0.850237,5.042396,1107187.303696
2013-08-31,97.77,134.95,90.0,128.0,332911.917646,41.702,,,77.049415,48.088354,74.461509,28.961061,18.621774,10.339287,41.702,138.60857,-55.20457,0.945264,4.647574,1440099.221342
2013-09-30,127.9,132.09,115.0,126.25,318194.963513,47.7495,,,84.618736,53.878106,73.684278,30.74063,21.045545,9.695085,47.7495,149.775213,-54.276213,0.884709,4.273373,1121904.257829
2013-10-31,126.25,206.6,85.0,203.54,626596.919998,57.677,,,102.914315,64.964172,82.414733,37.950143,24.426465,13.523678,57.677,178.10742,-62.75342,1.10559,4.176029,1748501.177827
2013-11-30,203.54,1163.0,200.23,1119.52,965986.913586,113.408,,,259.31519,143.079419,96.640299,116.235771,42.788326,73.447445,113.408,589.87913,-363.06313,1.555795,8.402778,2714488.091414
2013-12-31,1119.52,1153.27,382.21,732.0,952410.661998,149.758,,,332.03593,186.703165,70.614359,145.332764,63.297214,82.035551,149.758,693.743479,-394.227479,1.035163,7.26486,1762077.429415
2014-01-31,732.0,995.0,725.0,803.0,443963.841848,189.6495,,,404.491941,232.354783,72.097039,172.137158,85.065203,87.071955,189.6495,798.516282,-419.217282,1.003682,6.420969,2206041.271263
2014-02-28,803.0,827.38,400.0,551.89,825856.765555,216.9135,,,427.168565,256.024058,60.475087,171.144507,102.281063,68.863444,216.9135,839.238495,-405.411495,0.769133,5.738002,1380184.505708
2014-03-31,551.8,710.0,436.0,454.83,493562.489077,239.191,,,431.42417,270.750424,56.672371,160.673746,113.9596,46.714146,239.191,862.088881,-383.706881,0.673093,5.208372,886622.016631
2014-04-30,454.81,548.0,339.79,448.85,515924.526391,261.1255,,,434.105067,283.942985,56.436906,150.162082,121.200096,28.961986,261.1255,881.107451,-358.856451,0.651395,4.748536,370697.49024
2014-05-31,449.0,629.4,420.27,627.8,301545.594846,291.9045,,,463.904288,309.413875,61.581075,154.490412,127.85816,26.632253,291.9045,920.464347,-336.655347,0.767195,4.306613,672243.085087
2014-06-30,627.8,683.26,538.38,641.11,289718.28642,323.41,,,491.166705,333.983959,61.94106,157.182746,133.723077,23.459669,323.41,955.647711,-308.827711,0.75125,3.909822,961961.371506
2014-07-31,640.0,658.88,555.9,582.04,160537.087721,351.8905,,,505.147212,352.35848,59.286056,152.788732,137.536208,15.252524,351.8905,976.803415,-273.022415,0.684145,3.551746,801424.283786
2014-08-31,583.54,607.2,442.0,479.04,315108.531778,375.1805,153.452797,,501.130718,361.742297,54.869606,139.388421,137.906651,1.481771,375.1805,982.340299,-231.979299,0.585529,3.236628,486315.752008
2014-09-30,479.01,497.0,365.2,391.09,345105.080403,393.712,161.273246,,484.201377,363.9162,51.351891,120.285176,134.382356,-14.09718,393.712,978.65187,-191.22787,0.497759,2.97141,141210.671606
2014-10-31,389.56,417.99,275.0,337.99,597430.492003,408.935,168.031846,,461.707319,361.995741,49.296983,99.711577,127.4482,-27.736623,408.935,970.987014,-153.117014,0.436888,2.748857,-456219.820398
2014-11-30,337.99,453.92,316.61,377.01,439578.537226,422.978,175.570808,,448.676962,363.107908,50.853334,85.569053,119.072371,-33.503317,422.978,966.807562,-120.851562,0.457737,2.571432,-16641.283171
2014-12-31,376.09,383.0,304.99,321.0,295853.010172,432.034,181.986958,,429.034352,359.988804,48.549651,69.045548,109.067006,-40.021458,432.034,962.574814,-98.506814,0.395358,2.456014,-312494.293344
2015-01-31,321.0,321.0,152.4,216.9,786634.754729,436.4835,186.320794,,396.398298,349.389633,44.513521,47.008665,96.655338,-49.646673,436.4835,958.165979,-85.198979,0.289543,2.390388,-1099129.048072
2015-02-28,218.04,267.92,208.48,253.47,343817.575247,444.6805,191.384194,,374.409329,342.284475,46.205428,32.124854,83.749241,-51.624387,444.6805,949.167653,-59.806653,0.31049,2.268987,-755311.472825
