date,open,high,low,close,volume_btc,sma20,sma50,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_pctb,bb_width,obv
2010-09-30,0.08584,0.08584,0.050541,0.0619,0.0,,,,0.0619,0.0619,,0.0,0.0,0.0,,,,,,0.0
2010-12-31,0.061973,0.400982,0.061065,0.3,0.0,,,,0.098531,0.079537,100.0,0.018994,0.003799,0.015195,,,,,,0.0
2011-03-31,0.3,1.078703,0.295,0.78461,0.0,,,,0.204081,0.131765,100.0,0.072317,0.017502,0.054814,,,,,,0.0
2011-06-30,0.77411,29.029921,0.68,16.185263,0.0,,,,2.662725,1.320913,100.0,1.341812,0.282364,1.059448,,,,,,0.0
2011-09-30,15.420357,15.457551,4.8,4.82,1130.184122,,,,2.994613,1.580104,60.472264,1.414509,0.508793,0.905716,,,,,,-1130.184122
2011-12-31,4.82,15.0,2.22,4.58,6944.971707,,,,3.238519,1.802319,59.933513,1.4362,0.694275,0.741925,,,,,,-8075.155828
2012-03-31,4.58,7.38,3.8,4.9,15829.384535,,,,3.494131,2.031777,60.43959,1.462355,0.847891,0.614464,,,,,,7754.228706
2012-06-30,4.89,6.69,4.69,6.61,98726.847417,,,,3.973496,2.370904,63.120318,1.602591,0.998831,0.603761,,,,,,106481.076123
2012-09-30,6.6,16.41,6.36,12.22,189599.95211,,,,5.242189,3.100467,70.244179,2.141722,1.227409,0.914313,,,,,,296081.028233
2012-12-31,12.21,13.94,9.5,13.24,263792.371898,,,,6.472621,3.851544,71.328603,2.621078,1.506143,1.114935,,,,,,559873.400131
2013-03-31,13.24,97.0,12.77,96.15,426386.769237,,,,20.269141,10.688466,93.157519,9.580675,3.121049,6.459626,,,,,,986260.169368
2013-06-30,95.5,259.34,45.0,89.53,988464.131289,,,,30.924658,16.52858,87.433551,14.396078,5.376055,9.020023,,,,,,-2203.961921
2013-09-30,89.41,134.95,63.0,126.25,1071297.521315,,,,45.590095,24.656092,90.807521,20.934003,8.487644,12.446358,,,,,,1069093.559395
2013-12-31,126.25,1163.0,85.0,732.0,2544994.495583,,,,151.191619,77.051937,98.406806,74.139681,21.618052,52.52163,,,,,,3614088.054978
2014-03-31,732.0,995.0,400.0,454.83,1763383.09648,,,,197.905216,105.035498,69.923018,92.869718,35.868385,57.001333,,,,,,1850704.958498
2014-06-30,454.81,683.26,339.79,641.11,1107188.407657,,,,266.090567,144.74472,75.132648,121.345847,52.963878,68.38197,,,,,,2957893.366154
2014-09-30,640.0,658.88,365.2,391.09,820750.699901,,,,285.321249,162.992519,60.088789,122.328731,66.836848,55.491883,,,,,,2137142.666254
2014-12-31,389.56,453.92,275.0,321.0,1332862.039402,,,,290.810288,174.696776,56.66348,116.113511,76.692181,39.421331,,,,,,804280.626852
2015-03-31,321.0,321.0,152.4,244.24,1428467.429694,,,,283.645628,179.848126,53.09392,103.797502,82.113245,21.684257,,,,,,-624186.802842
2015-06-30,243.93,268.0,210.0,262.5,688747.192158,171.120089,,,280.392455,185.970487,53.838889,94.421967,84.57499,9.846978,171.120089,615.310408,-273.07023,0.602861,5.191563,64560.389315
2015-09-30,262.58,317.99,198.12,236.2,1385264.281206,182.926994,,,273.593615,189.691192,52.544467,83.902423,84.440476,-0.538053,182.926994,620.810912,-254.956924,0.56083,4.787527,-1320703.891891
2015-12-31,235.87,502.0,235.0,430.89,2022865.545136,204.456494,,,297.793059,207.55777,60.177258,90.235289,85.599439,4.63585,204.456494,646.627111,-237.714124,0.756048,4.325327,702161.653245
2016-03-31,430.89,465.0,352.0,414.66,662152.524196,225.150263,,,315.772589,222.898676,59.320689,92.873912,87.054334,5.819579,225.150263,665.993299,-215.692772,0.71494,3.91599,40009.12905
2016-06-30,414.66,778.85,412.0,667.95,544278.375431,257.7385,,,369.953729,255.865441,67.173697,114.088288,92.461124,21.627163,257.7385,727.393327,-211.916327,0.936716,3.644429,584287.504481
2016-09-30,666.33,704.99,465.28,608.23,357718.183467,287.909,,,406.611617,281.966519,64.034884,124.645097,98.897919,25.747178,287.909,766.145265,-190.327265,0.834898,3.322135,226569.321014
2016-12-31,608.23,980.74,604.99,966.3,428108.896088,335.995,,,492.717522,332.657888,72.371007,160.059633,111.130262,48.929372,335.995,879.546908,-207.556908,1.079802,3.235476,654678.217102
2017-03-31,966.34,1350.0,751.34,1070.31,867094.266817,389.2655,,,581.577903,387.298786,74.238848,194.279118,127.760033,66.519085,389.2655,997.555411,-219.024411,1.059803,3.125321,1521772.483919
2017-06-30,1071.34,2980.0,1061.64,2465.49,1074592.436507,512.2095,,,871.410533,541.238875,86.966905,330.171658,168.242358,161.9293,512.2095,1581.046389,-556.627389,1.413741,4.173436,2596364.920426
2017-09-30,2465.48,4979.9,1830.0,4326.09,1335337.508332,727.903,,,1402.899682,821.598218,92.376456,581.301464,250.854179,330.447285,727.903,2681.222366,-1225.416366,1.421044,5.366977,3931702.428758
2017-12-31,4326.09,19666.0,4137.96,13880.0,1421728.447672,1421.241,,,3322.453577,1788.887239,97.686492,1533.566338,507.396611,1026.169727,1421.241,7453.319305,-4610.837305,1.532709,8.488466,5353430.87643
2018-03-31,13880.0,17234.99,5920.72,6928.62,1522662.801342,1762.8645,,,3877.248411,2169.608184,63.195726,1707.640227,747.445334,960.194893,1762.8645,8215.322456,-4689.593456,0.900294,7.320424,3830768.075088
2018-06-30,6926.5,9948.98,5774.72,6385.71,942828.581674,2077.6735,,,4263.165579,2481.912022,61.37314,1781.253557,954.206979,827.046578,2077.6735,8782.293197,-4626.946197,0.821274,6.453969,2887939.493414
2018-09-30,6385.75,8496.96,5880.0,6597.81,644950.564146,2401.2515,,,4622.341644,2786.793354,61.836213,1835.54829,1130.475241,705.073049,2401.2515,9319.186918,-4516.683918,0.80331,5.761942,3532890.05756
2018-12-31,6597.79,6756.0,3122.28,3693.3,821885.062413,2549.3165,,,4479.41216,2853.941995,52.546165,1625.470166,1229.474226,395.99594,2549.3165,9444.730572,-4346.097572,0.582952,5.409618,2711004.995147
2019-03-31,3693.85,4190.0,3322.19,4096.08,573642.045502,2731.379,,,4420.437982,2945.952217,53.587499,1474.485764,1278.476534,196.009231,2731.379,9588.147111,-4125.389111,0.599515,5.020737,3284647.040649
2019-06-30,4092.02,13880.0,4052.56,10760.1,1001026.354393,3237.3285,,,5395.7706,3524.777979,66.633602,1870.992621,1396.979751,474.01287,3237.3285,10853.729003,-4379.072003,0.993853,4.705362,4285673.395042
2019-09-30,10759.24,13200.0,7714.7,8298.45,831687.782686,3632.6965,,,5842.336661,3878.383314,59.931991,1963.953348,1510.37447,453.578877,3632.6965,11435.713138,-4170.320138,0.798971,4.295991,3453985.612356
2019-12-31,8304.47,10350.0,6425.0,7168.36,588243.945947,3975.0645,,,6046.340252,4122.08529,57.093148,1924.254961,1593.150569,331.104393,3975.0645,11767.684201,-3817.555201,0.704892,3.920751,2865741.666409
2020-03-31,7160.69,10500.5,3850.0,6421.14,854948.049334,4283.9095,,,6104.001752,4292.385639,55.230288,1811.616112,1636.843677,174.772435,4283.9095,11949.170594,-3381.351594,0.63941,3.578629,2010793.617074
2020-06-30,6428.74,10429.26,6137.71,9132.96,890172.360668,4727.4325,,,6569.995328,4650.946703,60.293797,1919.048625,1693.284667,225.763958,4727.4325,12437.016686,-2982.151686,0.785718,3.261637,2900965.977743
2020-09-30,9136.89,12473.0,8905.0,10778.22,602480.187751,5254.5335,,,7217.414509,5104.818799,63.026053,2112.595709,1777.146875,335.448834,5254.5335,13104.025105,-2594.958105,0.85185,2.987703,3503446.165494
2020-12-31,10780.83,29300.0,10380.0,28992.79,726720.447136,6682.6285,,,10567.472276,6874.298147,79.689245,3693.174129,2160.352326,1532.821803,6682.6285,19391.056969,-6025.799969,1.37777,3.803422,4230166.61263
2021-03-31,28999.63,61781.83,27734.0,58782.58,855710.808309,9601.0245,,,17985.181157,10719.356062,88.677067,7265.825095,3181.44688,4084.378215,9601.0245,35339.313424,-16137.264424,1.455416,5.361571,5085877.420938
2021-06-30,58789.96,64895.22,28600.0,35037.23,493598.851862,11319.4885,,,20608.573287,12520.680058,64.265237,8087.893229,4162.73615,3925.157079,11319.4885,38961.615565,-16322.638565,0.929014,4.883989,4592278.569076
2021-09-30,35059.71,52956.47,29296.39,43834.43,230406.58295,13480.7985,,,24181.782012,14840.217091,67.801725,9341.564921,5198.501904,4143.063017,13480.7985,44040.579544,-17078.982544,0.996627,4.533824,4822685.152026
2021-12-31,43835.47,69000.0,41967.5,46214.37,223281.591926,15743.202,,,27571.410933,17164.228417,68.704075,10407.182516,6240.238026,4166.94449,15743.202,48855.150677,-17368.746677,0.960123,4.206508,5045966.743952
2022-03-31,46230.0,48234.0,32950.72,45517.27,187848.498433,17965.55,,,30332.312328,19264.45372,68.102047,11067.858608,7205.762143,3862.096466,17965.55,52763.338662,-16832.238662,0.895883,3.873835,4858118.245519
2022-06-30,45522.53,47458.48,17592.78,19924.89,254008.149674,18838.52,,,28731.170431,19313.374926,50.579149,9417.795506,7648.168815,1769.62669,18838.52,52905.442666,-15228.402666,0.515945,3.61673,4604110.095844
2022-09-30,19960.61,25212.0,18157.0,19425.0,189973.378445,19593.4655,,,27299.451903,19321.64345,50.306866,7977.808454,7714.096743,263.711711,19593.4655,53003.375945,-13816.444945,0.497479,3.410312,4414136.7174
2022-12-31,19419.0,21473.0,15479.0,16528.0,201985.319456,19725.8655,8460.116635,,25642.305457,19114.706898,48.671615,6527.598559,7476.797106,-949.198547,19725.8655,53065.071775,-13613.340775,0.45204,3.380253,4212151.397944
2023-03-31,16530.0,29380.0,16496.0,28476.0,210228.026332,20803.2345,9029.635397,,26078.258463,19808.136016,55.147189,6270.122447,7235.462174,-965.339727,20803.2345,53809.580124,-12203.111124,0.616232,3.173194,4422379.424276
2023-06-30,28476.0,31458.0,24756.0,30469.0,182323.744077,22007.399,9639.009397,,26753.757161,20597.829645,56.141161,6155.927517,7019.555243,-863.627726,22007.399,54576.267646,-10561.469646,0.629903,2.959811,4604703.168353
2023-09-30,30469.0,31818.0,24920.0,26966.0,133858.546361,23025.8085,10178.313705,,26786.409906,21069.545967,53.881007,5716.863938,6759.016982,-1042.153044,23025.8085,54869.316966,-8817.699966,0.561868,2.765897,4470844.621991
2023-12-31,26965.0,44729.0,26533.0,42258.0,155277.005152,24954.0435,11023.15,,29166.654536,22639.061081,61.220524,6527.593455,6712.732276,-185.138822,24954.0435,56550.925174,-6642.838174,0.773824,2.532406,4626121.627144
2024-03-31,42258.0,73794.0,38505.0,71285.0,229061.052597,28313.4895,12448.7536,,35646.399992,26242.463964,70.739529,9403.936028,7250.973027,2152.963001,28313.4895,64306.82221,-7679.84321,1.096937,2.542487,4855182.679741
2024-06-30,71296.0,72756.0,56500.0,62676.0,161095.813168,30909.2845,13702.182,,39804.799993,28941.244411,65.596648,10863.555582,7973.489538,2890.066044,30909.2845,68897.434256,-7078.865256,0.918113,2.458041,4694086.866572
2024-09-30,62676.0,70016.0,49577.0,63302.0,194298.90321,33659.462,14968.124,,43419.75384,31486.485566,65.791401,11933.268274,8765.445285,3167.822989,33659.462,72652.451791,-5333.527791,0.880101,2.316911,4888385.769782
