date,open,high,low,close,volume_btc,sma20,sma50,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_pctb,bb_width,obv
2010-07-18,0.08584,0.08584,0.08584,0.08584,0.0,,,,0.08584,0.08584,,0.0,0.0,0.0,,,,,,0.0
2010-07-25,0.0808,0.0808,0.050541,0.050541,0.0,,,,0.080409,0.083225,0.0,-0.002816,-0.000563,-0.002253,,,,,,0.0
2010-08-01,0.056,0.0699,0.056,0.0611,0.0,,,,0.077439,0.081586,2.249303,-0.004148,-0.00128,-0.002868,,,,,,0.0
2010-08-08,0.06,0.061671,0.057016,0.0609,0.0,,,,0.074894,0.080054,2.248271,-0.00516,-0.002056,-0.003104,,,,,,0.0
2010-08-15,0.0704,0.0704,0.0645,0.065118,0.0,,,,0.07339,0.078948,3.255907,-0.005557,-0.002756,-0.002801,,,,,,0.0
2010-08-22,0.0655,0.07,0.0655,0.065929,0.0,,,,0.072242,0.077983,3.461977,-0.005741,-0.003353,-0.002388,,,,,,0.0
2010-08-29,0.06491,0.065,0.064,0.064,0.0,,,,0.070974,0.076947,3.443192,-0.005973,-0.003877,-0.002096,,,,,,0.0
2010-09-05,0.06497,0.06497,0.06,0.06165,0.0,,,,0.06954,0.075814,3.418853,-0.006275,-0.004357,-0.001918,,,,,,0.0
2010-09-12,0.0616,0.063621,0.061,0.0615,0.0,,,,0.068303,0.074754,3.417193,-0.006451,-0.004776,-0.001676,,,,,,0.0
2010-09-19,0.06218,0.0627,0.060001,0.0627,0.0,,,,0.067441,0.073861,3.819622,-0.00642,-0.005105,-0.001316,,,,,,0.0
2010-09-26,0.062102,0.06265,0.061882,0.062,0.0,,,,0.066604,0.072983,3.80965,-0.006379,-0.005359,-0.001019,,,,,,0.0
2010-10-03,0.0622,0.0622,0.061065,0.061065,0.0,,,,0.065752,0.0721,3.795395,-0.006348,-0.005557,-0.000791,,,,,,0.0
2010-10-10,0.061294,0.097146,0.061294,0.097146,0.0,,,,0.070582,0.073955,16.740768,-0.003373,-0.00512,0.001747,,,,,,0.0
2010-10-17,0.095,0.105,0.0949,0.102,0.0,,,,0.075415,0.076032,18.332794,-0.000617,-0.00422,0.003603,,,,,,0.0
2010-10-24,0.1024,0.11501,0.097545,0.11501,0.0,,,,0.081507,0.07892,22.604616,0.002587,-0.002858,0.005445,,,,,,0.0
2010-10-31,0.139119,0.197611,0.139119,0.1925,0.0,,,,0.098583,0.087333,42.048505,0.01125,-3.7e-05,0.011286,,,,,,0.0
2010-11-07,0.194525,0.400982,0.1931,0.34,0.0,,,,0.135724,0.106049,61.747945,0.029675,0.005906,0.023769,,,,,,0.0
2010-11-14,0.243185,0.27904,0.217273,0.27904,0.0,,,,0.157772,0.118863,53.633432,0.038909,0.012506,0.026403,,,,,,0.0
2010-11-21,0.268465,0.283016,0.225,0.27675,0.0,,,,0.176077,0.130559,53.349805,0.045518,0.019109,0.026409,,,,,,0.0
2010-11-28,0.285,0.285,0.271359,0.271359,0.0,0.121807,,,0.190735,0.140988,52.643966,0.049747,0.025236,0.024511,0.121807,0.304131,-0.060516,0.910127,2.993631,0.0
2010-12-05,0.230559,0.255,0.20285,0.20285,0.0,0.127658,,,0.192599,0.145571,44.573726,0.047029,0.029595,0.017434,0.127658,0.312481,-0.057166,0.703416,2.895605,0.0
2010-12-12,0.204,0.2388,0.199992,0.219854,0.0,0.136124,,,0.196792,0.151073,46.755417,0.045719,0.03282,0.0129,0.136124,0.321552,-0.049305,0.725775,2.724411,0.0
2010-12-19,0.227605,0.24996,0.227605,0.2401,0.0,0.145074,,,0.203455,0.157668,49.313762,0.045787,0.035413,0.010374,0.145074,0.332423,-0.042276,0.753608,2.582817,0.0
2010-12-26,0.267,0.267,0.241436,0.264962,0.0,0.155277,,,0.212918,0.165615,52.342032,0.047302,0.037791,0.009511,0.155277,0.345384,-0.034831,0.788483,2.448632,0.0
2011-01-02,0.264785,0.3,0.264785,0.29997,0.0,0.167019,,,0.22631,0.175568,56.301052,0.050743,0.040381,0.010361,0.167019,0.362342,-0.028303,0.840337,2.338922,0.0
2011-01-09,0.295,0.323,0.295,0.323,0.0,0.179873,,,0.241186,0.186488,58.729901,0.054697,0.043245,0.011453,0.179873,0.380652,-0.020906,0.85643,2.232455,0.0
2011-01-16,0.32659,0.39999,0.3176,0.38679,0.0,0.196012,,,0.263586,0.201326,64.599197,0.062261,0.047048,0.015213,0.196012,0.408493,-0.016468,0.94893,2.168031,0.0
2011-01-23,0.3495,0.4424,0.31299,0.4424,0.0,0.21505,,,0.291096,0.219183,68.76905,0.071913,0.052021,0.019892,0.21505,0.443586,-0.013487,0.997405,2.125429,0.0
2011-01-30,0.4199,0.477142,0.41,0.477142,0.0,0.235832,,,0.319719,0.238291,71.062335,0.081427,0.057902,0.023525,0.235832,0.479808,-0.008144,0.994537,2.069068,0.0
