date,open,high,low,close,volume_btc,sma20,sma50,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_pctb,bb_width,obv
2010-07-18,0.08584,0.08584,0.08584,0.08584,,,,,0.08584,0.08584,,0.0,0.0,0.0,,,,,,0.0
2010-07-19,0.0808,0.0808,0.0808,0.0808,,,,,0.085065,0.085467,0.0,-0.000402,-8e-05,-0.000322,,,,,,0.0
2010-07-20,0.074736,0.074736,0.074736,0.074736,,,,,0.083476,0.084672,0.0,-0.001196,-0.000304,-0.000893,,,,,,0.0
2010-07-21,0.079193,0.079193,0.079193,0.079193,,,,,0.082817,0.084266,6.284004,-0.001449,-0.000533,-0.000917,,,,,,0.0
2010-07-22,0.05847,0.05847,0.05847,0.05847,,,,,0.079071,0.082355,4.780002,-0.003284,-0.001083,-0.002201,,,,,,0.0
2010-07-23,0.060593,0.060593,0.060593,0.060593,,,,,0.076228,0.080743,7.229759,-0.004515,-0.001769,-0.002746,,,,,,0.0
2010-07-24,0.05454,0.05454,0.05454,0.05454,,,,,0.072892,0.078802,6.700491,-0.005911,-0.002598,-0.003313,,,,,,0.0
2010-07-25,0.050541,0.050541,0.050541,0.050541,,,,,0.069453,0.076709,6.368734,-0.007256,-0.003529,-0.003726,,,,,,0.0
2010-07-26,0.056,0.056,0.056,0.056,,,,,0.067383,0.075175,12.721412,-0.007791,-0.004382,-0.00341,,,,,,0.0
2010-07-27,0.058622,0.058622,0.058622,0.058622,,,,,0.066035,0.073949,15.680387,-0.007913,-0.005088,-0.002825,,,,,,0.0
2010-07-28,0.058911,0.058911,0.058911,0.058911,,,,,0.064939,0.072835,16.018443,-0.007895,-0.005649,-0.002246,,,,,,0.0
2010-07-29,0.0699,0.0699,0.0699,0.0699,,,,,0.065703,0.072617,27.858697,-0.006915,-0.005903,-0.001012,,,,,,0.0
2010-07-30,0.064657,0.064657,0.064657,0.064657,,,,,0.065542,0.072028,25.97702,-0.006486,-0.006019,-0.000467,,,,,,0.0
