type,level,touches,first_touch,last_touch,dist_pct
support,59515.0,2,2026-02-06,2026-06-05,-5.65
support,62525.0,1,2026-02-24,2026-02-24,-0.88
resistance,65219.33,3,2026-02-12,2026-03-29,3.39
resistance,71481.5,2,2026-02-15,2026-03-25,13.32
resistance,74493.5,2,2026-03-04,2026-04-29,18.1
resistance,76013.0,1,2026-03-17,2026-03-17,20.5
resistance,80018.5,2,2025-11-21,2026-04-22,26.85
resistance,83681.67,3,2025-12-01,2026-05-06,32.66
resistance,89867.5,2,2025-12-22,2026-01-08,42.47
resistance,94538.67,3,2025-12-03,2026-01-05,49.87
resistance,98418.5,2,2025-11-04,2026-01-14,56.02
resistance,103530.0,1,2025-10-17,2025-10-17,64.13
resistance,107465.0,1,2025-11-11,2025-11-11,70.37
resistance,116381.0,1,2025-10-27,2025-10-27,84.5
