type,level,touches,first_touch,last_touch,dist_pct
support,49577.0,1,2024-08-11,2024-08-11,-22.52
support,59930.0,1,2026-02-08,2026-02-08,-6.34
resistance,70016.0,1,2024-08-04,2024-08-04,9.42
resistance,74434.0,1,2025-04-13,2025-04-13,16.33
resistance,81685.0,2,2025-11-23,2026-05-10,27.66
resistance,89164.0,1,2025-01-19,2025-01-19,39.35
resistance,98089.5,2,2025-06-22,2026-01-18,53.29
resistance,108330.0,3,2024-12-22,2025-09-07,69.3
resistance,112000.0,1,2025-05-25,2025-05-25,75.03
resistance,125394.5,2,2025-08-17,2025-10-12,95.97
